dateTime,price
2010-09-06 09:30:00,425000
2010-09-07 07:27:00,424000
2010-09-08 07:48:00,427000
2010-09-14 07:12:00,426000
2010-09-15 06:59:00,431000
2010-09-16 07:17:00,430000
2010-09-17 08:29:00,434000
2010-09-20 07:55:00,433000
2010-09-21 07:52:00,433000
2010-09-22 08:06:00,436000
2010-09-23 08:27:00,437000
2010-09-24 07:50:00,436000
2010-09-27 07:06:00,438000
2010-09-28 09:27:00,437000
2010-09-29 09:08:00,442000
2010-09-30 07:30:00,442000
2010-10-01 08:04:00,441000
2010-10-04 09:54:00,443000
2010-10-05 09:03:00,442000
2010-10-06 08:58:00,452000
2010-10-07 00:00:00,450000
2010-10-07 13:00:00,453000
2010-10-08 00:00:00,448000
2010-10-11 00:00:00,452000
2010-10-12 00:00:00,453000
2010-10-13 00:00:00,453000
2010-10-14 00:00:00,460000
2010-10-15 00:00:00,460000
2010-10-18 00:00:00,455000
2010-10-19 00:00:00,459000
2010-10-20 00:00:00,448000
2010-10-21 00:00:00,451000
2010-10-22 00:00:00,445000
2010-10-25 00:00:00,447000
2010-10-26 00:00:00,449000
2010-10-27 00:00:00,449000
2010-10-28 00:00:00,445000
2010-10-29 00:00:00,450000
2010-11-01 00:00:00,455000
2010-11-02 00:00:00,452000
2010-11-04 00:00:00,451000
2010-11-05 00:00:00,462000
2010-11-08 00:00:00,464000
2010-11-09 00:00:00,466000
2010-11-10 00:00:00,464000
2010-11-11 00:00:00,465000
2010-11-12 00:00:00,465000
2010-11-15 00:00:00,458000
2010-11-16 00:00:00,455000
2010-11-18 00:00:00,452000
2010-11-19 00:00:00,456000
2010-11-22 00:00:00,455000
2010-11-23 00:00:00,455000
2010-11-24 00:00:00,459000
2010-11-25 00:00:00,462000
2010-11-26 00:00:00,460000
2010-11-29 00:00:00,457000
2010-11-30 00:00:00,462000
2010-12-01 01:00:00,467000
2010-12-01 02:00:00,469000
2010-12-01 13:46:00,469000
2010-12-02 00:00:00,468000
2010-12-03 00:00:00,468000
2010-12-06 00:00:00,474000
2010-12-08 00:00:00,471000
2010-12-09 00:00:00,466000
2010-12-10 00:00:00,467000
2010-12-13 00:00:00,466000
2010-12-14 00:00:00,470000
2010-12-15 00:00:00,470000
2010-12-16 00:00:00,465000
2010-12-17 00:00:00,464000
2010-12-20 00:00:00,467000
2010-12-21 00:00:00,468000
2010-12-22 00:00:00,468000
2010-12-23 00:00:00,468000
2010-12-27 00:00:00,466000
2010-12-28 00:00:00,468000
2010-12-29 00:00:00,473000
2010-12-30 00:00:00,474000
2010-12-31 00:00:00,471000
2011-01-03 00:00:00,474000
2011-01-04 00:00:00,473000
2011-01-05 00:00:00,464000
2011-01-06 00:00:00,463000
2011-01-07 00:00:00,461000
2011-01-10 00:00:00,462000
2011-01-11 00:00:00,466000
2011-01-12 00:00:00,469000
2011-01-13 00:00:00,469000
2011-01-14 00:00:00,466000
2011-01-17 00:00:00,464000
2011-01-18 00:00:00,464000
2011-01-19 00:00:00,467000
2011-01-20 00:00:00,466000
2011-01-21 00:00:00,462000
2011-01-24 00:00:00,462000
2011-01-25 00:00:00,460000
2011-01-26 00:00:00,460000
2011-01-27 00:00:00,461000
2011-01-28 00:00:00,458000
2011-01-31 00:00:00,460000
2011-01-31 09:00:00,460000
2011-02-01 00:00:00,460000
2011-02-02 00:00:00,461000
2011-02-04 00:00:00,462000
2011-02-07 00:00:00,462000
2011-02-08 00:00:00,461000
2011-02-09 00:00:00,463000
2011-02-10 00:00:00,462000
2011-02-11 00:00:00,462000
2011-02-14 00:00:00,462000
2011-02-16 00:00:00,464000
2011-02-17 00:00:00,464000
2011-02-18 00:00:00,465000
2011-02-18 09:00:00,465000
2011-02-21 00:00:00,470000
2011-02-22 00:00:00,472000
2011-02-23 00:00:00,470000
2011-02-24 00:00:00,473000
2011-02-25 00:00:00,470000
2011-02-28 00:00:00,472000
2011-03-01 00:00:00,469000
2011-03-02 00:00:00,475000
2011-03-03 00:00:00,476000
2011-03-04 00:00:00,471000
2011-03-07 00:00:00,475000
2011-03-08 00:00:00,475000
2011-03-09 00:00:00,474000
2011-03-10 00:00:00,472000
2011-03-10 09:00:00,472000
2011-03-11 00:00:00,467000
2011-03-14 00:00:00,472000
2011-03-15 00:00:00,471000
2011-03-16 00:00:00,462000
2011-03-16 08:30:00,463000
2011-03-17 00:00:00,462000
2011-03-18 00:00:00,468000
2011-03-21 00:00:00,471000
2011-03-22 00:00:00,471000
2011-03-23 00:00:00,469000
2011-03-24 00:00:00,472000
2011-03-25 00:00:00,472000
2011-03-28 00:00:00,468000
2011-03-29 00:00:00,467000
2011-03-30 00:00:00,467000
2011-03-31 00:00:00,469000
2011-04-01 00:00:00,471000
2011-04-04 00:00:00,470000
2011-04-05 00:00:00,471000
2011-04-06 00:00:00,476000
2011-04-07 00:00:00,476000
2011-04-08 00:00:00,476000
2011-04-11 00:00:00,480000
2011-04-12 00:00:00,476000
2011-04-13 00:00:00,476000
2011-04-14 00:00:00,476000
2011-04-15 00:00:00,480000
2011-04-18 00:00:00,483000
2011-04-19 00:00:00,485000
2011-04-20 00:00:00,486000
2011-04-21 00:00:00,487000
2011-04-25 00:00:00,488000
2011-04-25 13:00:00,488000
2011-04-26 00:00:00,485000
2011-04-27 00:00:00,488000
2011-04-28 00:00:00,493000
2011-04-29 00:00:00,495000
2011-05-02 00:00:00,497000
2011-05-03 00:00:00,492000
2011-05-04 00:00:00,490000
2011-05-05 00:00:00,485000
2011-05-06 00:00:00,475000
2011-05-09 00:00:00,480000
2011-05-10 00:00:00,483000
2011-05-11 00:00:00,485000
2011-05-12 00:00:00,482000
2011-05-13 00:00:00,481000
2011-05-16 00:00:00,478000
2011-05-18 00:00:00,478000
2011-05-19 00:00:00,480000
2011-05-20 00:00:00,480000
2011-05-23 00:00:00,485000
2011-05-24 00:00:00,485000
2011-05-25 00:00:00,488000
2011-05-26 00:00:00,489000
2011-05-27 00:00:00,488000
2011-05-30 00:00:00,491000
2011-05-30 08:30:00,491000
2011-05-31 00:00:00,491000
2011-06-01 00:00:00,489000
2011-06-06 00:00:00,491000
2011-06-07 00:00:00,490000
2011-06-08 00:00:00,489000
2011-06-09 00:00:00,488000
2011-06-10 00:00:00,490000
2011-06-13 00:00:00,486000
2011-06-14 00:00:00,484000
2011-06-15 00:00:00,486000
2011-06-16 00:00:00,487000
2011-06-17 00:00:00,489000
2011-06-20 00:00:00,493000
2011-06-21 00:00:00,492000
2011-06-22 00:00:00,494000
2011-06-23 00:00:00,495000
2011-06-24 00:00:00,488000
2011-06-27 00:00:00,483000
2011-06-28 00:00:00,484000
2011-06-30 00:00:00,486000
2011-07-01 00:00:00,483000
2011-07-04 00:00:00,479000
2011-07-05 00:00:00,480000
2011-07-06 00:00:00,484000
2011-07-07 00:00:00,487000
2011-07-08 00:00:00,488000
2011-07-11 00:00:00,491000
2011-07-12 00:00:00,494000
2011-07-13 00:00:00,498000
2011-07-14 00:00:00,505000
2011-07-15 00:00:00,504000
2011-07-18 00:00:00,505000
2011-07-19 00:00:00,509000
2011-07-20 00:00:00,505000
2011-07-21 00:00:00,508000
2011-07-22 00:00:00,505000
2011-07-25 00:00:00,511000
2011-07-26 00:00:00,511000
2011-07-27 00:00:00,512000
2011-07-28 00:00:00,509000
2011-07-29 00:00:00,510000
2011-08-01 00:00:00,510000
2011-08-02 00:00:00,510000
2011-08-03 00:00:00,518000
2011-08-04 00:00:00,522000
2011-08-05 00:00:00,516000
2011-08-05 13:00:00,520000
2011-08-08 00:00:00,530000
2011-08-08 12:00:00,534000
2011-08-09 00:00:00,540000
2011-08-09 10:00:00,548000
2011-08-09 12:00:00,555000
2011-08-10 00:00:00,553000
2011-08-11 00:00:00,563000
2011-08-12 00:00:00,550000
2011-08-15 00:00:00,544000
2011-08-15 12:00:00,547000
2011-08-16 00:00:00,554000
2011-08-18 00:00:00,558000
2011-08-18 12:00:00,560000
2011-08-19 00:00:00,570000
2011-08-19 12:00:00,575000
2011-08-22 00:00:00,585000
2011-08-23 00:00:00,594000
2011-08-24 00:00:00,576000
